stage,run_idx,total_runs,seconds,lr,base_ch,weight_decay,adam_betas,loss_name,huber_beta,charbonnier_eps,scheduler,cosine_eta_min,plateau_factor,plateau_patience,grad_clip_norm,batch_size,val_mae,val_mse,val_rmse,val_norm_acc,config_json
stage1,1,576,59.273,5e-05,24,0.0,"(0.9, 0.999)",l1,,,none,,,,0.0,32,0.08973956537246704,0.01585098896175623,0.1259007107277645,0.9551302173137665,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,2,576,29.269,5e-05,24,1e-05,"(0.9, 0.999)",l1,,,none,,,,0.0,32,0.08678627169132233,0.0158361901268363,0.12584192515547551,0.9566068641543388,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,3,576,29.083,5e-05,24,0.0001,"(0.9, 0.999)",l1,,,none,,,,0.0,32,0.08660955321788788,0.015823866702616214,0.12579295172073918,0.9566952233910561,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,4,576,29.045,5e-05,24,0.0,"(0.9, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.09836187756061554,0.021183311372995377,0.14554487752234835,0.9508190612196923,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
stage1,5,576,29.103,5e-05,24,1e-05,"(0.9, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.09352106595039368,0.0175497265458107,0.1324753809045692,0.9532394670248031,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 1e-05}"
stage1,6,576,29.304,5e-05,24,0.0001,"(0.9, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.09724519157409668,0.020599357426166535,0.14352476241459708,0.9513774042129517,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 5e-05, ""scheduler"": ""cosine"", ""weight_decay"": 0.0001}"
stage1,7,576,29.162,0.0001,24,0.0,"(0.9, 0.999)",l1,,,none,,,,0.0,32,0.08110223817825317,0.0151372961550951,0.12303371958570991,0.9594488809108734,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 0.0}"
stage1,8,576,29.044,0.0001,24,1e-05,"(0.9, 0.999)",l1,,,none,,,,0.0,32,0.0805764279961586,0.014465704329311848,0.1202734564619802,0.9597117860019206,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 1e-05}"
stage1,9,576,28.803,0.0001,24,0.0001,"(0.9, 0.999)",l1,,,none,,,,0.0,32,0.09293772423267364,0.02549681407213211,0.1596772183880096,0.9535311378836632,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""none"", ""weight_decay"": 0.0001}"
stage1,10,576,29.024,0.0001,24,0.0,"(0.9, 0.999)",l1,,,cosine,0.0,,,0.0,32,0.08598596251010895,0.015479962565004826,0.1244184976802277,0.9570070187449455,"{""adam_betas"": [0.9, 0.999], ""base_ch"": 24, ""batch_size"": 32, ""cosine_eta_min"": 0.0, ""grad_clip_norm"": 0.0, ""loss_name"": ""l1"", ""lr"": 0.0001, ""scheduler"": ""cosine"", ""weight_decay"": 0.0}"
