group,rank,dataset_idx,mae_baseline,mae_cnn,delta
good,0,1037,0.000000,0.003345,-0.003345
good,1,853,0.001310,0.004462,-0.003152
good,2,957,0.002019,0.006202,-0.004183
good,3,1536,0.000000,0.006424,-0.006424
good,4,530,0.000000,0.006473,-0.006473
bad,0,47,0.321450,0.301316,0.020134
bad,1,1412,0.350646,0.297825,0.052820
bad,2,986,0.313747,0.278984,0.034763
bad,3,1386,0.299260,0.272020,0.027241
bad,4,139,0.306180,0.258878,0.047303
bad,5,1745,0.281311,0.246672,0.034638
eval_best,0,1505,0.015356,0.021773,-0.006417
eval_best,1,1147,0.035656,0.029457,0.006199
eval_best,2,478,0.032918,0.033820,-0.000902
eval_best,3,1432,0.049002,0.038367,0.010635
eval_best,4,1279,0.070832,0.066601,0.004231
eval_best,5,1458,0.090390,0.068190,0.022200
eval_best,6,1023,0.104182,0.068899,0.035283
eval_best,7,1065,0.102551,0.070486,0.032065
eval_best,8,1905,0.092819,0.072212,0.020607
eval_best,9,896,0.053505,0.083914,-0.030410
eval_worst,0,83,0.304520,0.236446,0.068074
eval_worst,1,1834,0.361470,0.205635,0.155835
eval_worst,2,807,0.112430,0.115331,-0.002900
eval_worst,3,770,0.129033,0.114455,0.014578
eval_worst,4,1956,0.166281,0.112958,0.053324
eval_worst,5,1468,0.131322,0.095019,0.036303
eval_worst,6,1581,0.118715,0.093440,0.025275
eval_worst,7,795,0.139098,0.084978,0.054120
eval_worst,8,1143,0.088150,0.084703,0.003447
eval_worst,9,1326,0.091116,0.084248,0.006868
